"Geschlecht","Groesse","Alter","Gewicht","Studienrichtung","Abschluss","Job","Jobdauer","Vorbildung","Geburtsjahr","Plz","Ort","Bundesland"
"m",178,22,83,"Angewandte Informatik","Master","nein",0,"HTL",2000,9555,"Glanegg","K"
"m",182,18,89,"Erziehungs- und Bildungswissenschaft","Bachelor","nein",0,"HAK",2004,9813,"Möllbrücke","K"
"m",175,22,79,"International Business and Economics","Bachelor","nein",0,"AHS",2000,9063,"Maria Saal","K"
"m",171,21,73,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",2001,9615,"Görtschach","K"
"w",155,19,54,"Betriebswirtschaft","Master","ja",18,"HAK",2003,9632,"Kirchbach","K"
"w",159,22,56,"Medien- und Kommunikationswissenschaften","Bachelor","ja",14,"HAK",2000,9061,"Klagenfurt-Wölfnitz","K"
"m",162,20,59,"Wirtschaftsinformatik","PhD","nein",0,"AHS",2002,9854,"Malta","K"
"m",168,25,63,"Germanistik","Master","nein",0,"Ausl",1997,9121,"Tainach","K"
"m",183,22,86,"Angewandte Informatik","Master","ja",7,"AHS",2000,9344,"Weitensfeld","K"
"w",171,22,64,"Robotics and Artificial Intelligence","Master","ja",19,"HAK",2000,9571,"Sirnitz","K"
"w",155,21,55,"Psychologie","Master","ja",13,"HAK",2001,9232,"Rosegg","K"
"m",176,20,82,"Romanistik","Master","nein",0,"Ausl",2002,9713,"Zlan","K"
"m",175,19,60,"Psychologie","Master","nein",0,"HAK",2003,9028,"Klagenfurt am Wörthersee","K"
"w",149,20,48,"Robotics and Artificial Intelligence","Master","ja",3,"Ausl",2002,9832,"Stall","K"
"w",168,22,96,"Geographie","Master","ja",13,"Ausl",2000,9509,"Zauchen","K"
"w",147,19,42,"Robotics and Artificial Intelligence","Master","ja",14,"AHS",2003,9342,"Gurk","K"
"m",164,21,47,"Angewandte Kulturwissenschaft","Bachelor","ja",18,"HBLA",2001,9027,"Klagenfurt am Wörthersee","K"
"m",182,24,97,"Robotics and Artificial Intelligence","Master","nein",0,"Ausl",1998,9423,"St. Georgen","K"
"m",170,19,66,"Romanistik","Master","ja",13,"AHS",2003,9150,"Bleiburg","K"
"m",172,19,64,"Psychologie","Master","nein",0,"Ausl",2003,9523,"Villach-Landskron","K"
"w",149,24,49,"Philosophie","Master","nein",0,"AHS",1998,9433,"St. Andrä","K"
"w",150,20,48,"Geographie","Master","ja",5,"HBLA",2002,9615,"Görtschach","K"
"w",165,19,69,"Germanistik","Master","ja",12,"Ausl",2003,9507,"Villach","K"
"w",161,19,59,"Technische Mathematik","PhD","ja",19,"AHS",2003,9013,"Klagenfurt am Wörthersee","K"
"m",169,22,75,"Germanistik","Master","ja",14,"AHS",2000,9816,"Penk","K"
"w",151,22,50,"Wirtschaft und Recht","Master","ja",18,"HBLA",2000,9201,"Krumpendorf","K"
"w",153,20,54,"Slawistik","Bachelor","nein",0,"HBLA",2002,9171,"Waidisch","K"
"m",190,20,107,"Romanistik","Bachelor","ja",7,"Sonst",2002,9653,"Liesing","K"
"m",171,30,77,"Erziehungs- und Bildungswissenschaft","PhD","ja",32,"HAK",1992,9615,"Görtschach","K"
"w",168,21,59,"Germanistik","PhD","ja",24,"AHS",2001,9212,"Techelsberg am Wörther See","K"
"w",168,21,58,"Angewandte Informatik","Master","ja",6,"AHS",2001,9111,"Haimburg","K"
"w",168,23,73,"Informationstechnik","Bachelor","nein",0,"HAK",1999,9507,"Villach","K"
"m",176,19,58,"Romanistik","PhD","ja",3,"Ausl",2003,9433,"St. Andrä","K"
"w",152,21,54,"Technische Mathematik","Master","ja",6,"Ausl",2001,9422,"Maria Rojach","K"
"w",154,19,53,"Geschichte","Bachelor","nein",0,"AHS",2003,9232,"Rosegg","K"
"w",168,19,76,"Erziehungs- und Bildungswissenschaft","Bachelor","ja",18,"Ausl",2003,9556,"Liebenfels","K"
"w",152,22,54,"Informationstechnik","Master","ja",20,"Ausl",2000,9027,"Klagenfurt am Wörthersee","K"
"m",178,20,70,"Anglistik und Amerikanistik","Master","nein",0,"Sonst",2002,9010,"Klagenfurt am Wörthersee","K"
"m",170,20,71,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",2002,9542,"Afritz","K"
"w",159,21,57,"Angewandte Informatik","PhD","ja",22,"AHS",2001,9702,"Ferndorf","K"
"w",156,19,55,"Anglistik und Amerikanistik","PhD","ja",22,"Ausl",2003,9025,"Klagenfurt am Wörthersee","K"
"m",172,22,71,"Slawistik","Bachelor","ja",8,"HAK",2000,9376,"Knappenberg","K"
"m",181,20,69,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"HAK",2002,9842,"Mörtschach","K"
"m",178,20,74,"Wirtschaftsinformatik","Bachelor","nein",0,"Ausl",2002,9655,"Maria Luggau","K"
"m",172,20,74,"Medien- und Kommunikationswissenschaften","PhD","ja",14,"Sonst",2002,9583,"Faak am See","K"
"m",181,21,75,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"Ausl",2001,9584,"Finkenstein","K"
"m",187,23,81,"Slawistik","Master","ja",33,"HTL",1999,9714,"Stockenboi","K"
"w",162,21,56,"Romanistik","PhD","nein",0,"HBLA",2001,9463,"Reichenfels","K"
"m",178,18,76,"Angewandte Informatik","Master","ja",6,"AHS",2004,9025,"Klagenfurt am Wörthersee","K"
"m",176,31,72,"Wirtschaftsinformatik","Master","ja",8,"HTL",1991,9585,"Gödersdorf","K"
"w",154,19,53,"Slawistik","Master","ja",15,"HAK",2003,9546,"Bad Kleinkirchheim","K"
"w",155,23,57,"Geschichte","Master","nein",0,"HBLA",1999,9132,"Gallizien","K"
"m",189,24,72,"International Business and Economics","Bachelor","ja",18,"Ausl",1998,9184,"St. Jakob im Rosental","K"
"w",169,21,63,"Informationstechnik","Master","ja",5,"Ausl",2001,9542,"Afritz","K"
"w",168,19,58,"Psychologie","Bachelor","nein",0,"HBLA",2003,9832,"Stall","K"
"m",175,19,77,"Germanistik","PhD","ja",17,"Sonst",2003,9423,"St. Georgen","K"
"w",166,22,59,"Psychologie","PhD","nein",0,"Sonst",2000,9062,"Moosburg","K"
"m",175,18,66,"Wirtschaftsinformatik","PhD","ja",23,"Ausl",2004,9563,"Gnesau","K"
"m",174,19,67,"Technische Mathematik","Master","nein",0,"Sonst",2003,9371,"Brückl","K"
"m",176,21,67,"Geschichte","Master","nein",0,"HBLA",2001,9640,"Kötschach-Mauthen","K"
"w",154,21,56,"Slawistik","Bachelor","ja",18,"Ausl",2001,9220,"Velden am Wörther See","K"
"w",181,24,67,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",1998,9343,"Zweinitz","K"
"w",168,21,65,"Romanistik","Master","ja",10,"AHS",2001,9302,"St. Veit an der Glan","K"
"w",160,19,58,"Germanistik","Master","ja",13,"AHS",2003,9033,"Klagenfurt","K"
"m",184,22,126,"Psychologie","Bachelor","ja",7,"AHS",2000,9554,"St. Urban","K"
"w",157,21,56,"Informationstechnik","PhD","nein",0,"AHS",2001,9342,"Gurk","K"
"w",176,26,81,"Technische Mathematik","Master","ja",13,"HAK",1996,9510,"Villach","K"
"w",159,20,55,"Technische Mathematik","Master","ja",7,"AHS",2002,9640,"Kötschach-Mauthen","K"
"w",143,20,42,"Informationstechnik","Master","ja",22,"Ausl",2002,9873,"Döbriach","K"
"m",185,21,76,"Romanistik","Master","nein",0,"Ausl",2001,9362,"Grades","K"
"w",171,19,60,"International Business and Economics","Master","nein",0,"AHS",2003,9773,"Irschen","K"
"m",168,23,62,"Anglistik und Amerikanistik","PhD","ja",4,"Sonst",1999,9412,"St. Margarethen im Lavanttal","K"
"m",163,21,58,"Robotics and Artificial Intelligence","Master","ja",30,"AHS",2001,9620,"Hermagor","K"
"w",147,21,47,"Wirtschaft und Recht","PhD","nein",0,"Ausl",2001,9822,"Mallnitz","K"
"w",160,27,56,"Anglistik und Amerikanistik","PhD","ja",13,"HAK",1995,9065,"Ebenthal","K"
"w",147,26,48,"Wirtschaft und Recht","Master","ja",9,"AHS",1996,9813,"Möllbrücke","K"
"m",167,20,51,"International Business and Economics","Bachelor","nein",0,"AHS",2002,9064,"Pischeldorf","K"
"w",163,21,75,"Slawistik","Bachelor","nein",0,"HAK",2001,9560,"Feldkirchen in Kärnten","K"
"m",181,22,90,"Angewandte Informatik","Master","nein",0,"Ausl",2000,9142,"Globasnitz","K"
"m",167,23,71,"Robotics and Artificial Intelligence","Bachelor","nein",0,"AHS",1999,9802,"Spittal an der Drau","K"
"m",173,21,65,"Philosophie","Master","ja",8,"HBLA",2001,9853,"Gmünd","K"
"w",164,20,58,"Angewandte Informatik","Bachelor","ja",8,"Ausl",2002,9322,"Micheldorf","K"
"w",176,23,67,"Philosophie","Master","nein",0,"HAK",1999,9155,"Neuhaus","K"
"m",166,20,74,"Slawistik","Bachelor","nein",0,"Sonst",2002,9521,"Treffen","K"
"m",161,22,88,"Romanistik","PhD","ja",9,"Sonst",2000,9816,"Penk","K"
"m",159,24,60,"Erziehungs- und Bildungswissenschaft","Bachelor","ja",16,"HAK",1998,9521,"Treffen","K"
"m",178,22,83,"Philosophie","Master","ja",12,"AHS",2000,9711,"Paternion","K"
"m",174,25,82,"Wirtschaftsinformatik","PhD","nein",0,"Ausl",1997,9462,"Bad St. Leonhard im Lavanttal","K"
"w",168,22,70,"Geographie","Master","nein",0,"HAK",2000,9322,"Micheldorf","K"
"w",161,24,58,"Wirtschaft und Recht","Master","nein",0,"HAK",1998,9583,"Faak am See","K"
"m",177,22,62,"Medien- und Kommunikationswissenschaften","PhD","nein",0,"Ausl",2000,9171,"Waidisch","K"
"w",164,20,70,"Wirtschaft und Recht","Master","ja",14,"HAK",2002,9171,"Waidisch","K"
"m",174,23,61,"Medien- und Kommunikationswissenschaften","Master","ja",30,"Ausl",1999,9063,"Maria Saal","K"
"w",157,18,59,"Robotics and Artificial Intelligence","Master","nein",0,"HAK",2004,9161,"Maria Rain","K"
"m",184,24,87,"Wirtschaftsinformatik","Master","ja",12,"HAK",1998,9360,"Friesach","K"
"m",171,19,80,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",2003,9815,"Kolbnitz","K"
"m",179,20,67,"Wirtschaftsinformatik","Bachelor","nein",0,"AHS",2002,9713,"Zlan","K"
"m",175,21,75,"Informationstechnik","Master","ja",9,"Sonst",2001,9721,"Weißenstein","K"
"m",188,24,79,"Slawistik","Master","nein",0,"Ausl",1998,9560,"Feldkirchen in Kärnten","K"
"w",168,19,66,"Geographie","Master","nein",0,"Ausl",2003,9502,"Villach","K"
"w",159,22,56,"Anglistik und Amerikanistik","Master","nein",0,"Sonst",2000,9472,"Ettendorf","K"
"m",174,24,73,"Betriebswirtschaft","Master","nein",0,"AHS",1998,9507,"Villach","K"
"w",161,27,56,"Technische Mathematik","Master","ja",14,"Ausl",1995,9431,"St. Stefan","K"
"m",157,19,52,"Wirtschaft und Recht","Master","nein",0,"AHS",2003,9321,"Kappel am Krappfeld","K"
"w",176,21,88,"Geographie","Master","nein",0,"HAK",2001,9625,"St. Stefan an der Gail","K"
"m",183,20,68,"Psychologie","Master","ja",17,"Ausl",2002,9104,"Pustritz","K"
"w",156,20,53,"Technische Mathematik","PhD","ja",15,"Sonst",2002,9710,"Feistritz an der Drau","K"
"m",177,20,75,"Robotics and Artificial Intelligence","Master","ja",25,"Ausl",2002,9025,"Klagenfurt am Wörthersee","K"
"w",164,19,57,"Informationstechnik","Master","nein",0,"Sonst",2003,9624,"Egg","K"
"w",153,20,52,"Angewandte Informatik","Master","nein",0,"HAK",2002,9361,"St. Salvator","K"
"w",174,24,57,"Germanistik","Master","ja",15,"AHS",1998,9652,"Birnbaum","K"
"w",160,31,72,"Geographie","Master","ja",16,"Sonst",1991,9421,"Eitweg","K"
"w",163,21,59,"Angewandte Informatik","Master","nein",0,"AHS",2001,9374,"Wieting","K"
"w",165,18,60,"Geschichte","Master","ja",22,"HBLA",2004,9505,"Villach","K"
"m",166,18,72,"Wirtschaftsinformatik","Bachelor","ja",16,"HTL",2004,9065,"Ebenthal","K"
"w",153,22,50,"Robotics and Artificial Intelligence","Master","ja",17,"AHS",2000,9873,"Döbriach","K"
"w",162,23,65,"Angewandte Informatik","Bachelor","ja",20,"Ausl",1999,9625,"St. Stefan an der Gail","K"
"m",179,23,84,"Wirtschaftsinformatik","Master","ja",10,"AHS",1999,9170,"Ferlach","K"
"m",175,20,79,"Germanistik","Master","nein",0,"HTL",2002,9812,"Pusarnitz","K"
"w",168,18,51,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"HBLA",2004,9361,"St. Salvator","K"
"m",177,20,83,"Medien- und Kommunikationswissenschaften","Master","nein",0,"AHS",2002,9504,"Villach-Warmbad Villach","K"
"m",178,22,63,"Geographie","PhD","ja",12,"HTL",2000,9508,"Villach","K"
"m",163,20,68,"Geschichte","Bachelor","ja",24,"AHS",2002,9182,"Maria Elend","K"
"w",167,20,56,"Geographie","Master","nein",0,"AHS",2002,9622,"Weißbriach","K"
"m",168,22,76,"Informationstechnik","Bachelor","ja",14,"AHS",2000,9564,"Patergassen","K"
"m",170,19,58,"Wirtschaft und Recht","Bachelor","ja",9,"Sonst",2003,9461,"Prebl","K"
"m",173,23,95,"Anglistik und Amerikanistik","Master","nein",0,"Ausl",1999,9821,"Obervellach","K"
"w",149,19,49,"Wirtschaft und Recht","PhD","nein",0,"Ausl",2003,9554,"St. Urban","K"
"w",161,23,46,"Wirtschaftsinformatik","Bachelor","nein",0,"HBLA",1999,9813,"Möllbrücke","K"
"w",158,18,59,"Philosophie","Master","nein",0,"HBLA",2004,9613,"Feistritz an der Gail","K"
"w",156,27,56,"Psychologie","Master","nein",0,"AHS",1995,9751,"Sachsenburg","K"
"w",158,20,57,"Angewandte Kulturwissenschaft","Master","nein",0,"Ausl",2002,9651,"St. Jakob im Lesachtal","K"
"m",184,21,92,"Romanistik","Bachelor","ja",28,"Sonst",2001,9811,"Lendorf","K"
"w",152,21,55,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"HAK",2001,9342,"Gurk","K"
"w",160,21,79,"Romanistik","Bachelor","ja",12,"Sonst",2001,9816,"Penk","K"
"w",142,19,40,"International Business and Economics","Master","ja",12,"AHS",2003,9813,"Möllbrücke","K"
"w",157,20,57,"Germanistik","Bachelor","ja",20,"Ausl",2002,9360,"Friesach","K"
"m",170,20,65,"Erziehungs- und Bildungswissenschaft","Master","ja",20,"HBLA",2002,9330,"Treibach-Althofen","K"
"w",174,21,71,"Slawistik","Master","nein",0,"AHS",2001,9713,"Zlan","K"
"w",154,23,49,"Anglistik und Amerikanistik","Master","nein",0,"HAK",1999,9625,"St. Stefan an der Gail","K"
"w",155,21,56,"Robotics and Artificial Intelligence","Bachelor","ja",32,"Sonst",2001,9170,"Ferlach","K"
"m",163,23,59,"Romanistik","Master","ja",11,"HAK",1999,9842,"Mörtschach","K"
"w",163,18,77,"Angewandte Kulturwissenschaft","PhD","nein",0,"Ausl",2004,9130,"Poggersdorf","K"
"m",183,29,79,"Betriebswirtschaft","Master","ja",10,"AHS",1993,9862,"Kremsbrücke","K"
"m",164,22,71,"Germanistik","Master","ja",6,"HAK",2000,9346,"Glödnitz","K"
"m",171,20,64,"Anglistik und Amerikanistik","Master","ja",27,"HTL",2002,9314,"Launsdorf","K"
"w",173,25,79,"Robotics and Artificial Intelligence","Master","ja",22,"Ausl",1997,9161,"Maria Rain","K"
"w",157,20,55,"Slawistik","Master","ja",14,"Sonst",2002,9842,"Mörtschach","K"
"w",167,20,67,"Psychologie","Master","ja",4,"AHS",2002,9541,"Einöde","K"
"m",177,21,70,"Geographie","Master","ja",8,"HAK",2001,9201,"Krumpendorf","K"
"m",164,19,68,"Technische Mathematik","Master","ja",23,"Ausl",2003,9620,"Hermagor","K"
"w",172,20,58,"Psychologie","Master","nein",0,"Ausl",2002,9551,"Bodensdorf","K"
"w",168,24,64,"Robotics and Artificial Intelligence","PhD","ja",8,"HAK",1998,9125,"Kühnsdorf","K"
"w",158,18,58,"Technische Mathematik","Bachelor","nein",0,"HAK",2004,9413,"St. Gertraud","K"
"w",155,20,52,"Technische Mathematik","Bachelor","ja",22,"Ausl",2002,9802,"Spittal an der Drau","K"
"w",159,18,58,"Wirtschaftsinformatik","Master","ja",30,"AHS",2004,9712,"Fresach","K"
"w",169,21,67,"Philosophie","Master","ja",28,"AHS",2001,9360,"Friesach","K"
"m",169,24,60,"Wirtschaftsinformatik","Bachelor","nein",0,"Sonst",1998,9584,"Finkenstein","K"
"m",159,25,52,"Romanistik","Master","ja",15,"Sonst",1997,9028,"Klagenfurt am Wörthersee","K"
"m",173,22,64,"Anglistik und Amerikanistik","PhD","ja",20,"HAK",2000,9523,"Villach-Landskron","K"
"w",168,20,90,"Wirtschaft und Recht","PhD","nein",0,"HBLA",2002,9623,"St. Stefan an der Gail","K"
"m",165,26,76,"Technische Mathematik","Master","nein",0,"Sonst",1996,9583,"Faak am See","K"
"w",160,23,59,"Philosophie","PhD","nein",0,"Ausl",1999,9113,"Ruden","K"
"w",152,21,53,"Wirtschaft und Recht","Bachelor","nein",0,"HAK",2001,9581,"Ledenitzen","K"
"w",163,20,58,"Wirtschaftsinformatik","Bachelor","nein",0,"AHS",2002,9313,"St. Georgen am Längsee","K"
"w",161,19,69,"Geschichte","Master","ja",11,"Ausl",2003,9073,"Klagenfurt-Viktring","K"
"w",162,18,60,"Erziehungs- und Bildungswissenschaft","PhD","ja",22,"HAK",2004,9031,"Klagenfurt","K"
"m",169,22,68,"Wirtschaftsinformatik","Master","nein",0,"AHS",2000,9773,"Irschen","K"
"m",168,22,73,"Anglistik und Amerikanistik","Master","ja",7,"Ausl",2000,9372,"Eberstein","K"
"w",169,20,64,"Wirtschaftsinformatik","Bachelor","nein",0,"Sonst",2002,9585,"Gödersdorf","K"
"w",163,24,60,"Robotics and Artificial Intelligence","Master","ja",17,"AHS",1998,9100,"Völkermarkt","K"
"m",173,18,70,"Robotics and Artificial Intelligence","PhD","ja",11,"HAK",2004,9762,"Weißensee","K"
"m",148,21,50,"Medien- und Kommunikationswissenschaften","Master","ja",12,"Ausl",2001,9431,"St. Stefan","K"
